| food_name                                                                              | energy_kj | energy_kcal | carb_g | protein_g | fat_g | freesugar_g | fibre_g |
| Buckwheat, groats                                                                      | 1522      | 364         | 84.9   | 8.1       | 1.5   | 0.4         | 0       |
| Bengal gram, dal (Cicer arietinum)                                                     | 1377      | 329.1       | 46.72  | 21.55     | 5.31  | 1.03        | 15.15   |
| Bengal gram, whole (Cicer arietinum)                                                   | 1201      | 287.04      | 39.56  | 18.77     | 5.11  | 0.99        | 25.22   |
| Black gram, dal (Phaseolus mungo)                                                      | 1356      | 324.08      | 51     | 23.06     | 1.69  | 0.84        | 11.93   |
| Black gram, whole (Phaseolus mungo)                                                    | 1219      | 291.34      | 43.99  | 21.97     | 1.58  | 0.45        | 20.41   |
| Cowpea, brown (Vigna catjang)                                                          | 1340      | 320.26      | 54.62  | 20.36     | 1.15  | 1.6         | 11.54   |
| Cowpea, white (Vigna catjang)                                                          | 1340      | 320.26      | 53.77  | 21.25     | 1.14  | 1.18        | 11.7    |
| Field bean, black (Phaseolus vulgaris)                                                 | 1155      | 276.05      | 43.46  | 19.93     | 0.92  | 1.15        | 23.4    |
| Field bean, brown (Phaseolus vulgaris)                                                 | 1184      | 282.98      | 45.24  | 19.9      | 0.98  | 1.17        | 22.4    |
| Field bean, white (Phaseolus vulgaris)                                                 | 1173      | 280.35      | 44.53  | 19.84     | 0.94  | 1.07        | 22.99   |
| Green gram, dal (Vigna radiata)                                                        | 1363      | 325.76      | 52.59  | 23.88     | 1.35  | 0.95        | 9.37    |
| Green gram, whole (Vigna radiata)                                                      | 1229      | 293.73      | 46.13  | 22.53     | 1.14  | 0.54        | 17.04   |
| Horse gram, whole (Dolicus biflorus)                                                   | 1379      | 329.58      | 57.24  | 21.73     | 0.62  | 0.35        | 7.88    |
| Lentil dal (Lens culinaris)                                                            | 1349      | 322.41      | 52.53  | 24.35     | 0.75  | 1.95        | 10.43   |
| Lentil whole, brown (Lens culinaris)                                                   | 1251      | 298.99      | 48.47  | 22.49     | 0.64  | 1.63        | 16.82   |
| Lentil whole, yellowish (Lens culinaris)                                               | 1246      | 297.79      | 47.91  | 22.87     | 0.61  | 1.5         | 16.66   |
| Moth bean (Vigna aconitifolia)                                                         | 1291      | 308.55      | 52.09  | 19.75     | 1.76  | 1.36        | 15.12   |
| Peas, dry (Pisum sativum)                                                              | 1269      | 303.29      | 48.93  | 20.43     | 1.89  | 2.03        | 17.01   |
| Rajmah, black (Phaseolus vulgaris)                                                     | 1247      | 298.03      | 49.59  | 19.01     | 1.62  | 2.02        | 17.74   |
| Rajmah, brown (Phaseolus vulgaris)                                                     | 1245      | 297.56      | 48.83  | 19.5      | 1.68  | 2.27        | 16.95   |
| Rajmah, red (Phaseolus vulgaris)                                                       | 1252      | 299.23      | 48.61  | 19.91     | 1.77  | 1.52        | 16.57   |
| Red gram, dal (Cajanus cajan)                                                          | 1384      | 330.78      | 55.23  | 21.7      | 1.56  | 2.08        | 9.06    |
| Red gram, whole (Cajanus cajan)                                                        | 1146      | 273.89      | 42.48  | 20.47     | 1.38  | 1.3         | 22.84   |
| Ricebean (Vigna umbellata)                                                             | 1265      | 302.34      | 51.26  | 19.97     | 0.74  | 1.33        | 13.37   |
| Soya bean, brown (Glycine max)                                                         | 1596      | 381.44      | 12.79  | 35.58     | 19.82 | 2.51        | 21.55   |
| Soya bean, white (Glycine max)                                                         | 1579      | 377.38      | 10.16  | 37.8      | 19.42 | 2.2         | 22.63   |
| Bengal gram, roasted                                                                   | 1543.9    | 369         | 58.1   | 22.5      | 5.2   | 0           | 1       |
| Field bean, dry                                                                        | 1451.85   | 347         | 60.1   | 24.9      | 0.8   | 0           | 1.4     |
| Khesari, dhal                                                                          | 1443.48   | 345         | 56.6   | 28.2      | 0.6   | 0           | 2.3     |
| Peas roasted                                                                           | 1422.56   | 340         | 58.8   | 22.9      | 1.4   | 0           | 4.4     |
| Goa beans                                                                              | 0         | 0           | 0      | 32.7      | 18.4  | 0           | 7.2     |
| Malmandi                                                                               | 0         | 0           | 0      | 26.1      | 0     | 0           | 0       |
| Sutari                                                                                 | 1389.09   | 332         | 60.9   | 21.5      | 0.3   | 0           | 4.2     |
| Beans, chick peas, Kabuli, whole, dried, raw                                           | 1355      | 320         | 49.6   | 21.3      | 5.4   | 2.6         | 0       |
| Beansprouts, mung, boiled in unsalted water                                            | 104       | 25          | 2.8    | 2.5       | 0.5   | 1.4         | 0       |
| Flour, soya                                                                            | 1711      | 409         | 18.7   | 34.3      | 22.4  | 6.4         | 18      |
| Peanut butter, smooth                                                                  | 2514      | 607         | 13.1   | 22.8      | 51.8  | 6.7         | 6.6     |
| Peanuts, dry roasted                                                                   | 2444      | 590         | 10.3   | 25.7      | 49.8  | 3.8         | 7.6     |
| Tofu, soya bean, steamed                                                               | 304       | 73          | 0.7    | 8.1       | 4.2   | 0.3         | 0       |
| BLACK BEANS                                                                            | 230.12    | 55          | 15.8   | 3.94      | 0.79  | 0           | 5.5     |
| Soybeans, mature seeds, raw                                                            | 1870      | 446         | 30.2   | 36.5      | 19.9  | 7.33        | 9.3     |
| Chickpeas (garbanzo beans, bengal gram), mature seeds, raw                             | 1580      | 378         | 63     | 20.5      | 6.04  | 10.7        | 12.2    |
| ROASTED CHICKPEAS                                                                      | 1196.62   | 286         | 60.71  | 17.86     | 7.14  | 3.57        | 21.4    |
| Agathi leaves (Sesbania grandiflora)                                                   | 295       | 70.51       | 5.21   | 8.01      | 1.35  | 0.23        | 8.6     |
| Amaranth leaves, green (Amaranthus gangeticus)                                         | 128       | 30.59       | 2.28   | 3.29      | 0.65  | 0.32        | 4.41    |
| Amaranth leaves, red (Amaranthus gangeticus)                                           | 140       | 33.46       | 2.37   | 3.93      | 0.63  | 0.28        | 4.91    |
| Amaranth leaves, red and green mix (Amaranthus gangeticus)                             | 132       | 31.55       | 2.87   | 3.09      | 0.53  | 0.15        | 4.6     |
| Amaranth spined, leaves, green (Amaranthus spinosus)                                   | 110       | 26.29       | 1.61   | 3.54      | 0.36  | 0.14        | 5.1     |
| Amaranth spined, leaves, red and green mix (Amaranthus spinosus)                       | 99        | 23.66       | 1.45   | 2.8       | 0.34  | 0.13        | 5.57    |
| Basella leaves (Basella alba)                                                          | 82        | 19.6        | 2.01   | 1.57      | 0.45  | 0.02        | 2.21    |
| Bathua leaves (Chenopodium album)                                                      | 116       | 27.72       | 2.56   | 2.5       | 0.44  | 0.52        | 4.01    |
| Beet greens (Beta vulgaris)                                                            | 145       | 34.66       | 3.86   | 2.38      | 0.75  | 0.13        | 3.64    |
| Betel leaves, big (kolkata) (Piper betle)                                              | 202       | 48.28       | 7.37   | 2.51      | 0.75  | 0.37        | 2.12    |
| Betel leaves, small (Piper betle)                                                      | 183       | 43.74       | 6.16   | 2.62      | 0.75  | 0.4         | 1.97    |
| Brussels sprouts (Brassica oleracea var. gemmifera)                                    | 185       | 44.22       | 5.09   | 4.26      | 0.5   | 0.17        | 4.29    |
| Cabbage, Chinese (Brassica rupa)                                                       | 75        | 17.93       | 2.36   | 1.58      | 0.13  | 0.42        | 2.01    |
| Cabbage, collard greens (Brassica oleracea var. viridis)                               | 126       | 30.11       | 2.79   | 3.63      | 0.27  | 0.76        | 2.98    |
| Cabbage, green (Brassica oleracea var. capitata f. alba)                               | 90        | 21.51       | 3.25   | 1.36      | 0.12  | 1           | 2.76    |
| Cabbage, violet (Brassica oleracea var. capitata f. rubra)                             | 97        | 23.18       | 3.54   | 1.39      | 0.21  | 0.8         | 2.21    |
| Cauliflower leaves (Brassica oleracea var. botrytis)                                   | 148       | 35.37       | 3.39   | 3.9       | 0.42  | 0.61        | 3.43    |
| Colocasia leaves, green (Colocasia esculenta)                                          | 182       | 43.5        | 3.69   | 3.42      | 1.38  | 0.63        | 5.6     |
| Drumstick leaves (Moringa oleifera)                                                    | 282       | 67.4        | 5.62   | 6.41      | 1.64  | 0.02        | 8.21    |
| Fenugreek leaves (Trigonella foenum graecum)                                           | 144       | 34.42       | 2.17   | 3.68      | 0.83  | 0.88        | 4.9     |
| Garden cress (Lepidium sativum)                                                        | 208       | 49.71       | 4.48   | 5.62      | 0.8   | 0.92        | 2.6     |
| Gogu leaves, green (Hibiscus cannabinus)                                               | 152       | 36.33       | 4.06   | 1.86      | 1.09  | 0.01        | 4.59    |
| Gogu leaves, red (Hibiscus cannabinus)                                                 | 153       | 36.57       | 4.24   | 1.85      | 1.07  | 0.01        | 3.89    |
| Knol-Khol, leaves (Brassica oleracea var. gongylodes)                                  | 178       | 42.54       | 6.16   | 3.12      | 0.35  | 0.1         | 2.76    |
| Lettuce (Lactuca sativa)                                                               | 91        | 21.75       | 3.01   | 1.54      | 0.27  | 0.22        | 1.79    |
| Mustard leaves (Brassica juncea)                                                       | 127       | 30.35       | 2.41   | 3.52      | 0.51  | 0.04        | 3.92    |
| Pak Choi leaves (Brassica rapa var. chinensis)                                         | 67        | 16.01       | 1.78   | 1.41      | 0.25  | 0.52        | 1.91    |
| Parsley (Petroselinum crispum)                                                         | 305       | 72.9        | 9.43   | 5.55      | 1.14  | 0.69        | 3.87    |
| Ponnaganni (Alternanthera sessilis)                                                    | 213       | 50.91       | 5.17   | 5.29      | 0.71  | 0.44        | 6.74    |
| Pumpkin leaves, tender (Cucurbita maxima)                                              | 185       | 44.22       | 4.75   | 4.21      | 0.74  | 0.1         | 2.25    |
| Radish leaves (Raphanus sativus)                                                       | 109       | 26.05       | 2.77   | 2.22      | 0.51  | 0.29        | 1.82    |
| Rumex leaves (Rumex patientia)                                                         | 82        | 19.6        | 2.33   | 1.62      | 0.33  | 0.45        | 1.27    |
| Spinach (Spinacia oleracea)                                                            | 102       | 24.38       | 2.05   | 2.14      | 0.64  | 0.24        | 2.38    |
| Tamarind leaves, tender (Tamarindus indica)                                            | 299       | 71.46       | 10.04  | 5.84      | 0.49  | 0.17        | 10.7    |
| Ambat chuka                                                                            | 62.76     | 15          | 1.4    | 1.6       | 0.3   | 0           | 0.6     |
| Bengal gram leaves                                                                     | 405.85    | 97          | 14.1   | 7         | 1.4   | 0           | 2       |
| Bottle gourd leaves                                                                    | 163.18    | 39          | 6.1    | 2.3       | 0.7   | 0           | 1.3     |
| Broad bean leaves                                                                      | 297.06    | 71          | 11.5   | 5.6       | 0.3   | 0           | 3.7     |
| Carrot leaves                                                                          | 322.17    | 77          | 13.1   | 5.1       | 0.5   | 0           | 1.9     |
| Celery leaves                                                                          | 154.81    | 37          | 1.6    | 6.3       | 0.6   | 0           | 1.4     |
| Chekkur manis                                                                          | 430.95    | 103         | 11.6   | 6.8       | 3.2   | 0           | 1.4     |
| Colocasia leaves (dried)                                                               | 1158.97   | 277         | 42.3   | 13.7      | 5.9   | 0           | 16      |
| Cow pea leaves                                                                         | 158.99    | 38          | 4.1    | 3.4       | 0.7   | 0           | 1.2     |
| Fetid cassia (fresh)                                                                   | 205.02    | 49          | 5.5    | 5         | 0.8   | 0           | 2.1     |
| Fetid cassia (dried)                                                                   | 1221.73   | 292         | 43.5   | 20.7      | 3.9   | 0           | 10.4    |
| Garden sorrel (sepals)                                                                 | 104.6     | 25          | 5.1    | 0.6       | 0.2   | 0           | 1.3     |
| Ipomoea stems                                                                          | 79.5      | 19          | 3.4    | 0.9       | 0.2   | 0           | 0       |
| Ipomoea leaves                                                                         | 117.15    | 28          | 3.1    | 2.9       | 0.4   | 0           | 1.2     |
| Kuppameni                                                                              | 267.78    | 64          | 6      | 6.7       | 1.4   | 0           | 2.3     |
| Manathakkali leaves                                                                    | 284.51    | 68          | 8.9    | 5.9       | 1     | 0           | 0       |
| Mayalu                                                                                 | 133.89    | 32          | 4.2    | 2.8       | 0.4   | 0           | 0       |
| Modakonthan keerai                                                                     | 255.22    | 61          | 9.1    | 4.7       | 0.6   | 0           | 0       |
| Mukarrate keerai                                                                       | 255.22    | 61          | 7.2    | 6.1       | 0.9   | 0           | 0       |
| Nerringi                                                                               | 284.51    | 68          | 8.6    | 7.2       | 0.5   | 0           | 0       |
| Paruppu keerai                                                                         | 112.97    | 27          | 2.9    | 2.4       | 0.6   | 0           | 1.3     |
| Rape stem                                                                              | 121.34    | 29          | 4      | 3.1       | 0.1   | 0           | 0       |
| Rape leaves                                                                            | 200.83    | 48          | 5.9    | 5.1       | 0.4   | 0           | 1.2     |
| Rape leaves (dried)                                                                    | 1242.65   | 297         | 40.7   | 27        | 2.9   | 0           | 6.7     |
| Safflower leaves                                                                       | 138.07    | 33          | 4.5    | 2.5       | 0.6   | 0           | 0       |
| Shepu                                                                                  | 154.81    | 37          | 5.2    | 3         | 0.5   | 0           | 1.1     |
| Spinach stalks                                                                         | 83.68     | 20          | 3.8    | 0.9       | 0.1   | 0           | 0       |
| Susni sag                                                                              | 192.46    | 46          | 4.6    | 3.7       | 1.4   | 0           | 1.3     |
| Turnip greens                                                                          | 280.33    | 67          | 9.4    | 4         | 1.5   | 0           | 1       |
| Ceylon pasali                                                                          | 129.7     | 31          | 4.3    | 1.9       | 0.7   | 0           | 0       |
| Chimti sag                                                                             | 192.46    | 46          | 6.9    | 3.2       | 0.7   | 0           | 2.1     |
| Giria sag                                                                              | 108.78    | 26          | 3.6    | 2         | 0.4   | 0           | 0.9     |
| Gulcharni                                                                              | 112.97    | 27          | 4.3    | 1.3       | 0.5   | 0           | 1       |
| Kasini keerat                                                                          | 138.07    | 33          | 4.6    | 1.9       | 0.7   | 0           | 0       |
| Katha sag                                                                              | 100.42    | 24          | 3      | 1.9       | 0.5   | 0           | 1.7     |
| Kena sag                                                                               | 92.05     | 22          | 2.5    | 2.1       | 0.4   | 0           | 0.8     |
| Khesari leaves                                                                         | 230.12    | 55          | 5.5    | 6.1       | 1     | 0           | 2.1     |
| Koila karha sag                                                                        | 150.62    | 36          | 5.2    | 3         | 0.4   | 0           | 1.4     |
| Konar sag                                                                              | 259.41    | 62          | 9.7    | 3.6       | 1     | 0           | 5.5     |
| Korla leaves                                                                           | 280.33    | 67          | 9      | 6.1       | 0.7   | 0           | 0       |
| Manal keerai                                                                           | 92.05     | 22          | 2.3    | 2.4       | 0.4   | 0           | 2.2     |
| Mata sag (lupu)                                                                        | 1267.75   | 303         | 57.8   | 7.2       | 4.8   | 0           | 13.5    |
| Nachukotta keerai                                                                      | 251.04    | 60          | 9.1    | 4.3       | 0.7   | 0           | 0       |
| Neem leaves mature                                                                     | 539.74    | 129         | 22.9   | 7.1       | 1     | 0           | 6.2     |
| Neem leaves tender                                                                     | 661.07    | 158         | 21.2   | 11.6      | 3     | 0           | 2.2     |
| Pacharisi keerai                                                                       | 347.27    | 83          | 12.3   | 4.7       | 1.7   | 0           | 0       |
| Panna keerai                                                                           | 188.28    | 45          | 6      | 3.8       | 0.6   | 0           | 2.3     |
| Parwar sag                                                                             | 230.12    | 55          | 5.8    | 5.4       | 1.1   | 0           | 4.2     |
| Pasarai keerai                                                                         | 175.73    | 42          | 7.9    | 1.7       | 0.4   | 0           | 2.2     |
| Patua sag                                                                              | 263.59    | 63          | 8.1    | 5.1       | 1.1   | 0           | 1.6     |
| Potato leaves                                                                          | 167.36    | 40          | 3.6    | 4.4       | 0.9   | 0           | 1.3     |
| Puliara keerai                                                                         | 251.04    | 60          | 7.2    | 4.3       | 1.5   | 0           | 0       |
| Punnaku keerai                                                                         | 297.06    | 71          | 10.1   | 6.1       | 0.7   | 0           | 0       |
| Perandai                                                                               | 154.81    | 37          | 7.3    | 1.2       | 0.3   | 0           | 1.8     |
| Saravallai keerai                                                                      | 100.42    | 24          | 3.2    | 2         | 0.4   | 0           | 0.9     |
| Sarli sag                                                                              | 359.82    | 86          | 14.9   | 4         | 1.1   | 0           | 1.5     |
| Seemai ponnanganni                                                                     | 209.2     | 50          | 7.5    | 3.3       | 0.8   | 0           | 0       |
| Sinduar sag                                                                            | 158.99    | 38          | 5.8    | 2         | 0.7   | 0           | 1.5     |
| Sinduar wild                                                                           | 121.34    | 29          | 4.4    | 1.1       | 0.8   | 0           | 3.7     |
| Sonchal sag                                                                            | 188.28    | 45          | 5.6    | 4.3       | 0.6   | 0           | 1.2     |
| Soya leaves                                                                            | 301.25    | 72          | 10.8   | 6         | 0.5   | 0           | 0       |
| Sweet potato greens                                                                    | 263.59    | 63          | 9.7    | 4.2       | 0.8   | 0           | 2.4     |
| Thooduvalai keerai                                                                     | 167.36    | 40          | 4.6    | 3.9       | 0.7   | 0           | 2.3     |
| Veethi keerai                                                                          | 376.56    | 90          | 13.4   | 7.5       | 0.7   | 0           | 2.2     |
| Velaikeerai                                                                            | 284.51    | 68          | 8.8    | 6.5       | 0.8   | 0           | 0       |
| Vella keerai                                                                           | 305.43    | 73          | 8.3    | 5.6       | 1.9   | 0           | 0       |
| Water cress                                                                            | 138.07    | 33          | 4.9    | 2.9       | 0.2   | 0           | 0.6     |
| Broccoli, green, raw                                                                   | 146       | 34          | 3.2    | 4.3       | 0.6   | 1.9         | 4       |
| Watercress, raw                                                                        | 43        | 10          | 0      | 1.9       | 0.3   | 0           | 1.5     |
| Ash gourd (Benincasa hispida)                                                          | 73        | 17.45       | 2.84   | 0.79      | 0.14  | 0.19        | 3.37    |
| Bamboo shoot, tender (Bambusa vulgaris)                                                | 68        | 16.25       | 1.67   | 1.33      | 0.35  | 0.09        | 1.55    |
| Bean scarlet, tender (Phaseolus coccineus)                                             | 179       | 42.78       | 5.16   | 2.86      | 0.99  | 1.03        | 4.5     |
| Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)                     | 87        | 20.79       | 2.82   | 1.44      | 0.24  | 0.04        | 3.78    |
| Bitter gourd, jagged, teeth ridges, short (Momordica charantia)                        | 79        | 18.88       | 2.53   | 1.34      | 0.24  | 0.06        | 3.49    |
| Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)                    | 81        | 19.36       | 2.29   | 1.61      | 0.26  | 0.08        | 3.72    |
| Bottle gourd, elongate, pale green (Lagenaria vulgaris)                                | 46        | 10.99       | 1.68   | 0.53      | 0.13  | 0.36        | 2.12    |
| Bottle gourd, round, pale green (Lagenaria vulgaris)                                   | 57        | 13.62       | 2.53   | 0.42      | 0.12  | 0.34        | 2.1     |
| Bottle gourd, elongate, dark green (Lagenaria vulgaris)                                | 54        | 12.91       | 2.25   | 0.49      | 0.13  | 0.39        | 2.11    |
| Brinjal-1 (Solanum melongena)                                                          | 114       | 27.25       | 3.49   | 1.77      | 0.39  | 0.88        | 3.57    |
| Brinjal-2 (Solanum melongena)                                                          | 99        | 23.66       | 2.71   | 1.82      | 0.34  | 0.98        | 4.01    |
| Brinjal-3 (Solanum melongena)                                                          | 102       | 24.38       | 3.38   | 1.36      | 0.33  | 0.93        | 4.26    |
| Brinjal-4 (Solanum melongena)                                                          | 100       | 23.9        | 3.19   | 1.51      | 0.31  | 0.86        | 4.04    |
| Brinjal-5 (Solanum melongena)                                                          | 111       | 26.53       | 4.02   | 1.38      | 0.29  | 0.99        | 4.13    |
| Brinjal-6 (Solanum melongena)                                                          | 97        | 23.18       | 3.29   | 1.46      | 0.29  | 1           | 3.68    |
| Brinjal-7 (Solanum melongena)                                                          | 98        | 23.42       | 3.1    | 1.4       | 0.37  | 1.38        | 3.32    |
| Brinjal-8 (Solanum melongena)                                                          | 117       | 27.96       | 3.75   | 1.82      | 0.33  | 0.79        | 4.01    |
| Brinjal-9 (Solanum melongena)                                                          | 106       | 25.33       | 3.52   | 1.47      | 0.35  | 0.91        | 4       |
| Brinjal-10 (Solanum melongena)                                                         | 116       | 27.72       | 4.08   | 1.68      | 0.25  | 0.86        | 3.9     |
| Brinjal-11 (Solanum melongena)                                                         | 105       | 25.1        | 3.53   | 1.43      | 0.31  | 1.05        | 4.12    |
| Brinjal-12 (Solanum melongena)                                                         | 93        | 22.23       | 2.73   | 1.6       | 0.27  | 1.22        | 3.89    |
| Brinjal-13 (Solanum melongena)                                                         | 124       | 29.64       | 4.51   | 1.49      | 0.31  | 1.15        | 3.92    |
| Brinjal-14 (Solanum melongena)                                                         | 106       | 25.33       | 3.27   | 1.56      | 0.35  | 0.88        | 3.87    |
| Brinjal-15 (Solanum melongena)                                                         | 114       | 27.25       | 3.96   | 1.58      | 0.29  | 0.82        | 3.99    |
| Brinjal-16 (Solanum melongena)                                                         | 103       | 24.62       | 3.46   | 1.26      | 0.34  | 0.99        | 3.74    |
| Brinjal-17 (Solanum melongena)                                                         | 91        | 21.75       | 2.89   | 1.18      | 0.36  | 0.85        | 3.94    |
| Brinjal-18 (Solanum melongena)                                                         | 116       | 27.72       | 4.1    | 1.47      | 0.33  | 1.44        | 4.38    |
| Brinjal-19 (Solanum melongena)                                                         | 100       | 23.9        | 3.39   | 1.26      | 0.31  | 0.96        | 3.97    |
| Brinjal-20 (Solanum melongena)                                                         | 99        | 23.66       | 3.15   | 1.44      | 0.34  | 0.76        | 3.73    |
| Brinjal-21 (Solanum melongena)                                                         | 113       | 27.01       | 3.93   | 1.36      | 0.35  | 0.93        | 3.85    |
| Brinjal - all varieties (Solanum melongena)                                            | 106       | 25.33       | 3.52   | 1.48      | 0.32  | 0.97        | 3.98    |
